,Name,Speed,Team
307,Dion Beljo,32.09,FC Augsburg
308,F. Krätzig,32.08,FC Bayern München
309,A. Rouault,32.08,VfB Stuttgart
310,C. Groß,32.05,SV Werder Bremen
311,N. Höfler,32.04,Sport-Club Freiburg
312,Bryan Zaragoza,32.03,FC Bayern München
313,M. Ducksch,32.01,SV Werder Bremen
314,Arthur,31.99,Bayer 04 Leverkusen
315,E. Mašović,31.98,VfL Bochum 1848
316,Kenneth Schmidt,31.96,Sport-Club Freiburg
317,N. Amiri,31.95,Bayer 04 Leverkusen
318,L. Ajorque,31.94,1. FSV Mainz 05
319,K. Jakić,31.92,Eintracht Frankfurt
320,T. Kempe,31.92,SV Darmstadt 98
321,John Anthony Brooks,31.92,TSG Hoffenheim
322,J. Schöppner,31.92,1. FC Heidenheim 1846
323,Attila Szalai,31.91,Sport-Club Freiburg
324,Danilho Doekhi,31.88,1. FC Union Berlin
325,Maximilian Philipp,31.86,Sport-Club Freiburg
326,M. Eggestein,31.85,Sport-Club Freiburg
327,F. Muslija,31.85,Sport-Club Freiburg
328,R. Knoche,31.83,1. FC Union Berlin
329,Arne Maier,31.82,FC Augsburg
330,C. Riedel,31.80,SV Darmstadt 98
331,Felix Uduokhai,31.80,FC Augsburg
332,Gonçalo Paciência,31.76,VfL Bochum 1848
333,Junior Adamu,31.76,Sport-Club Freiburg
334,N. Seiwald,31.76,RB Leipzig
335,Alassane Pléa,31.75,Borussia Mönchengladbach
336,Sébastien Haller,31.75,Borussia Dortmund
337,M. Zetterer,31.74,SV Werder Bremen
338,S. Tigges,31.74,1. FC Köln
339,M. Jenz,31.72,VfL Wolfsburg
340,E. Rexhbecaj,31.70,FC Augsburg
341,B. Schmitz,31.69,1. FC Köln
342,P. Tietz,31.66,FC Augsburg
343,T. Siersleben,31.66,1. FC Heidenheim 1846
344,Diogo Leite,31.63,1. FC Union Berlin
345,M. Gulde,31.62,Sport-Club Freiburg
346,A. Beck,31.60,1. FC Heidenheim 1846
347,E. Elmas,31.59,RB Leipzig
348,I. Ordets,31.56,VfL Bochum 1848
349,C. Lenz,31.55,Eintracht Frankfurt
350,Luca Raimund,31.55,VfB Stuttgart
351,G. Xhaka,31.55,Bayer 04 Leverkusen
352,T. Breithaupt,31.54,FC Augsburg
353,Matthias Ginter,31.53,Sport-Club Freiburg
354,R. Khedira,31.53,1. FC Union Berlin
355,A. Karazor,31.52,VfB Stuttgart
356,Jacob Christensen,31.51,1. FC Köln
357,M. Reus,31.49,Borussia Dortmund
358,F. Schnellhardt,31.49,SV Darmstadt 98
359,L. Ullrich,31.47,Borussia Mönchengladbach
